State,Season,SoilType,N,P,K,Temperature,Humidity,pH,Rainfall,Crop
Gujarat,Zaid,Sandy,112,15,27,31,91,5.5,276,Tur
Karnataka,Rabi,Clay,52,28,10,36.4,39,6.3,264,Rice
Mizoram,Rabi,Black,33,70,39,29.9,57,7.5,24,Tur
Uttar Pradesh,Zaid,Alluvial,102,12,69,29.2,90,6.3,276,Maize
Uttarakhand,Rabi,Clay,45,12,56,21.2,72,5.8,93,Cucumber
Jammu and Kashmir,Rabi,Loamy,95,60,13,20.1,57,5.8,75,Tur
Uttar Pradesh,Rabi,Clay,61,26,87,25.5,41,6,210,Cucumber
Maharashtra,Zaid,Loamy,32,26,12,19.7,43,7.7,26,Tur
Uttar Pradesh,Zaid,Black,72,61,36,28,59,6.3,196,Cauliflower
Gujarat,Kharif,Sandy,73,24,86,26.8,62,6.5,115,Sugarcane
Mizoram,Rabi,Alluvial,74,25,66,28.6,92,6.3,224,Coriander
Meghalaya,Kharif,Alluvial,64,76,83,20.2,93,7.4,212,Sunflower
Haryana,Kharif,Loamy,27,80,57,31.7,36,7.6,210,Onion
Telangana,Zaid,Red,69,59,82,29.5,78,6.3,76,Peas
Punjab,Kharif,Red,73,64,18,27.3,39,7.4,221,Cabbage
Goa,Zaid,Alluvial,43,77,10,27.9,90,7.2,156,Tomato
Manipur,Rabi,Black,35,41,82,18.6,48,6.8,280,Sunflower
Punjab,Rabi,Loamy,78,10,14,26.1,33,5.7,223,Cotton
Jharkhand,Zaid,Red,33,48,60,29.2,58,7.8,99,Watermelon
Gujarat,Rabi,Red,70,43,30,33.8,68,7.9,148,Coriander
Goa,Zaid,Alluvial,33,60,68,25.8,89,6.8,203,Watermelon
Tripura,Kharif,Alluvial,63,15,86,31.2,91,7.2,247,Sugarcane
Jammu and Kashmir,Kharif,Red,92,40,40,34,69,7.9,217,Bajra
Arunachal Pradesh,Kharif,Clay,31,40,17,36.3,56,7.8,123,Chilli
Odisha,Zaid,Loamy,97,77,78,23.1,71,6.8,65,Bajra
Meghalaya,Rabi,Black,101,54,16,32.9,32,6.4,174,Muskmelon
Meghalaya,Zaid,Clay,20,16,16,19.8,71,6.3,194,Peas
Arunachal Pradesh,Zaid,Alluvial,68,32,87,36.9,35,6,56,Watermelon
Andhra Pradesh,Zaid,Sandy,70,48,75,22.2,47,7.4,248,Sunflower
Delhi,Rabi,Clay,87,10,27,27.2,61,6,100,Sesame
Punjab,Rabi,Alluvial,41,47,44,33.9,93,6.7,128,Sesame
Karnataka,Zaid,Sandy,50,35,77,33,94,7.1,200,Groundnut
Mizoram,Kharif,Black,70,33,40,32,95,7.3,135,Potato
Tripura,Kharif,Red,58,71,47,30.4,95,7,139,Sunflower
Uttar Pradesh,Rabi,Loamy,104,20,72,21.4,79,6.1,228,Barley
Jharkhand,Kharif,Clay,68,35,30,18.9,92,6.8,109,Sesame
Odisha,Rabi,Loamy,62,66,83,34.8,81,7.6,48,Groundnut
Jammu and Kashmir,Zaid,Clay,114,49,76,23.8,67,8,72,Maize
Mizoram,Zaid,Clay,28,10,73,35.8,39,6,271,Mustard
Rajasthan,Zaid,Alluvial,113,41,43,21.8,53,7.9,298,Wheat
Jammu and Kashmir,Kharif,Alluvial,38,77,70,33.6,66,6.3,31,Cucumber
Meghalaya,Rabi,Alluvial,72,67,87,29.8,51,7.2,176,Spinach
Mizoram,Zaid,Sandy,59,53,28,29.7,40,6.5,124,Cotton
Haryana,Zaid,Red,52,33,85,25.7,33,6.1,140,Jowar
Andhra Pradesh,Rabi,Alluvial,112,31,47,33.1,83,6.9,235,Cabbage
Kerala,Zaid,Clay,116,27,28,22.9,59,7.5,141,Rice
Mizoram,Zaid,Sandy,119,59,17,35.6,57,7.9,112,Sesame
Uttarakhand,Zaid,Clay,61,58,77,37.9,33,5.9,34,Tur
Kerala,Rabi,Sandy,31,29,21,27.2,32,6.5,283,Sesame
Uttar Pradesh,Rabi,Black,86,26,35,23,66,6.7,116,Cauliflower
Manipur,Rabi,Clay,89,18,79,21,80,5.5,244,Wheat
Sikkim,Zaid,Red,78,15,85,29,76,7.9,134,Spinach
Odisha,Rabi,Alluvial,37,35,17,31.8,52,6.9,297,Brinjal
Punjab,Kharif,Clay,67,65,10,29.2,39,5.5,284,Carrot
Himachal Pradesh,Kharif,Red,51,47,88,36.4,67,7.9,124,Rice
Odisha,Rabi,Sandy,89,32,59,33.3,94,5.9,206,Wheat
Telangana,Zaid,Sandy,23,79,13,27.4,81,7.9,96,Tomato
Haryana,Kharif,Loamy,84,30,46,25,62,6.4,294,Sesame
Kerala,Zaid,Red,115,80,77,37.9,62,7.1,270,Barley
Arunachal Pradesh,Rabi,Alluvial,62,15,30,36.9,92,7.4,286,Spinach
Jammu and Kashmir,Kharif,Loamy,113,56,65,34.4,72,7.9,286,Spinach
Uttar Pradesh,Rabi,Sandy,97,33,34,34.4,52,6.5,153,Bajra
Andhra Pradesh,Rabi,Sandy,97,79,18,32.4,74,7.2,275,Cauliflower
Tripura,Kharif,Red,89,20,48,28.4,92,6,243,Watermelon
Kerala,Kharif,Black,52,44,58,29.2,89,6.5,32,Cucumber
Assam,Zaid,Red,29,17,45,37.5,85,6.4,262,Carrot
Mizoram,Rabi,Loamy,102,33,34,32.5,82,7.1,94,Groundnut
Nagaland,Rabi,Black,84,40,37,18.2,37,7.5,294,Wheat
Punjab,Kharif,Clay,108,52,24,20.2,43,7.5,255,Rice
Punjab,Rabi,Clay,29,76,57,27.2,39,7.1,83,Tomato
Jharkhand,Zaid,Red,53,35,79,20.7,57,7.2,30,Cotton
Andhra Pradesh,Zaid,Alluvial,76,52,58,33.6,52,6.4,274,Soybean
Telangana,Zaid,Clay,31,38,89,37.7,78,7.7,132,Onion
West Bengal,Rabi,Loamy,104,13,34,35.6,85,7.6,56,Chilli
Jammu and Kashmir,Rabi,Black,86,45,32,26.7,56,5.5,109,Potato
Sikkim,Rabi,Alluvial,107,39,59,25.8,67,6.8,56,Sugarcane
Manipur,Zaid,Alluvial,109,80,17,37.1,75,6.9,37,Ragi
Uttarakhand,Kharif,Red,102,42,66,22,61,5.7,47,Cabbage
Odisha,Zaid,Black,69,80,58,22,34,6.8,131,Sesame
Delhi,Zaid,Clay,21,58,25,28.5,81,5.5,230,Mustard
Himachal Pradesh,Rabi,Black,28,13,47,27.6,75,7.8,21,Spinach
Haryana,Rabi,Sandy,117,13,31,34.2,75,6.5,166,Peas
Maharashtra,Zaid,Sandy,46,67,29,36.9,37,6.9,33,Bajra
Gujarat,Rabi,Alluvial,63,31,89,35,61,6.7,115,Maize
West Bengal,Kharif,Red,50,63,24,29.4,71,7.9,296,Bajra
Sikkim,Rabi,Clay,76,44,47,29.2,38,6.5,72,Mustard
West Bengal,Rabi,Black,69,23,54,25.3,66,7.7,66,Soybean
Meghalaya,Kharif,Loamy,93,40,12,23.8,44,6.9,34,Potato
Andhra Pradesh,Kharif,Black,53,66,86,23.6,59,7.6,33,Chilli
Jharkhand,Rabi,Red,111,38,11,21.7,80,6.8,292,Barley
Jammu and Kashmir,Zaid,Clay,90,72,73,26.7,82,5.6,214,Jowar
Karnataka,Zaid,Loamy,31,13,70,35.8,32,7.8,177,Potato
Rajasthan,Kharif,Sandy,30,10,23,27.3,53,5.6,212,Barley
Madhya Pradesh,Kharif,Red,101,53,13,36.1,42,5.8,217,Sesame
Gujarat,Rabi,Red,81,33,15,22.7,60,6.2,26,Carrot
Tamil Nadu,Zaid,Red,40,20,41,20.9,41,6,133,Onion
Sikkim,Kharif,Red,57,17,86,24,73,5.5,257,Brinjal
Nagaland,Rabi,Sandy,39,58,53,31.5,37,7,278,Chilli
Tamil Nadu,Kharif,Sandy,34,23,36,29,66,7.5,23,Muskmelon
Jammu and Kashmir,Kharif,Loamy,32,66,31,20.6,66,6.5,293,Onion
Sikkim,Kharif,Sandy,88,58,53,22,90,6.7,283,Tur
Himachal Pradesh,Kharif,Red,77,45,80,19.8,82,5.9,51,Maize
Gujarat,Kharif,Red,79,74,75,34,92,6.9,177,Sunflower
Uttarakhand,Zaid,Clay,70,78,59,32.5,39,5.6,132,Cabbage
Kerala,Zaid,Loamy,80,60,10,25.4,75,6.4,107,Peas
Haryana,Zaid,Sandy,108,11,26,23.8,78,8,37,Jowar
Nagaland,Zaid,Alluvial,62,60,82,26.5,31,6.2,178,Jowar
Sikkim,Kharif,Alluvial,41,60,66,35.2,93,6.4,32,Ragi
Sikkim,Rabi,Sandy,59,29,37,23.1,68,5.9,211,Soybean
Kerala,Rabi,Alluvial,91,27,17,27.2,70,7,83,Ragi
Bihar,Zaid,Loamy,120,52,47,22.5,45,6.5,76,Ragi
Maharashtra,Kharif,Alluvial,98,50,10,26.5,40,7.2,265,Tur
Madhya Pradesh,Zaid,Sandy,60,75,67,24.9,51,7.1,42,Sesame
Assam,Zaid,Clay,36,56,45,30.5,58,6.6,58,Cotton
Manipur,Kharif,Black,100,21,26,36,33,7.2,85,Carrot
Sikkim,Rabi,Loamy,117,51,36,28.1,47,7.9,67,Cabbage
Maharashtra,Kharif,Black,74,35,27,29.6,74,6,192,Gram
Tamil Nadu,Zaid,Red,67,13,26,36.2,50,7.2,285,Brinjal
Manipur,Zaid,Red,120,69,73,34.2,73,5.8,107,Cabbage
Telangana,Zaid,Loamy,61,46,61,19.9,48,7.7,129,Peas
Rajasthan,Zaid,Red,24,33,88,25.2,73,6.5,39,Gram
Manipur,Kharif,Black,103,27,70,27,42,7.4,281,Onion
Madhya Pradesh,Rabi,Alluvial,116,50,61,22.9,49,7.2,197,Groundnut
Meghalaya,Rabi,Alluvial,72,31,71,28.9,53,6.9,106,Spinach
Odisha,Kharif,Alluvial,30,67,25,22.7,42,8,234,Jowar
Uttarakhand,Zaid,Red,99,63,40,31.4,82,6.3,258,Mustard
Uttarakhand,Rabi,Red,110,61,80,24.3,70,7.1,150,Soybean
Madhya Pradesh,Rabi,Black,37,55,35,26.3,30,6.5,20,Tur
Tamil Nadu,Rabi,Sandy,115,17,65,23.7,90,7.4,118,Spinach
Haryana,Rabi,Clay,65,26,70,31.2,92,5.7,207,Jowar
Rajasthan,Zaid,Clay,118,73,87,20.1,81,5.9,226,Maize
Chhattisgarh,Kharif,Loamy,116,15,34,23.6,38,7.3,183,Soybean
Sikkim,Zaid,Sandy,29,21,25,19,30,5.8,83,Jowar
Nagaland,Rabi,Red,118,48,21,28,35,5.9,198,Gram
Uttarakhand,Rabi,Loamy,27,20,74,23.2,54,7.4,27,Jowar
Delhi,Zaid,Loamy,97,64,42,21.7,32,6.4,208,Onion
Haryana,Rabi,Loamy,74,55,51,26.6,42,7.9,150,Rice
Himachal Pradesh,Rabi,Alluvial,82,58,48,19.2,35,7.8,235,Wheat
Meghalaya,Rabi,Loamy,26,80,54,37.8,74,7.9,105,Cauliflower
Arunachal Pradesh,Zaid,Red,109,29,43,34.5,75,7.4,206,Cabbage
Punjab,Rabi,Clay,119,38,56,33.3,64,7.3,69,Groundnut
Assam,Kharif,Sandy,102,55,72,22.2,66,7,242,Jowar
Sikkim,Kharif,Alluvial,96,18,22,36.3,49,7.1,116,Cucumber
Himachal Pradesh,Zaid,Alluvial,104,22,85,23.7,71,7.4,269,Brinjal
Tripura,Rabi,Clay,50,58,83,26,91,6.7,197,Onion
Meghalaya,Rabi,Black,38,61,71,35.9,69,6.7,161,Bajra
Manipur,Kharif,Alluvial,93,59,58,28.5,53,6.8,137,Sesame
Mizoram,Kharif,Loamy,78,50,11,23.6,50,7.4,229,Peas
Kerala,Kharif,Alluvial,29,80,45,29.6,83,6.7,161,Onion
Jharkhand,Kharif,Clay,84,80,56,26.3,61,6.6,298,Wheat
Bihar,Rabi,Red,87,59,20,31.8,64,5.9,147,Sugarcane
Assam,Rabi,Alluvial,86,16,84,23.3,43,6.2,80,Tomato
Mizoram,Rabi,Black,78,59,31,27,46,5.6,121,Coriander
Goa,Rabi,Sandy,95,75,81,27.9,87,7.9,236,Sugarcane
Andhra Pradesh,Kharif,Red,52,37,38,25.4,42,5.9,189,Sesame
Telangana,Zaid,Black,30,13,44,23.6,72,6.7,226,Muskmelon
Odisha,Kharif,Black,113,13,64,23.3,40,7.6,91,Carrot
Nagaland,Zaid,Sandy,39,34,27,34.9,43,6.4,286,Cauliflower
Delhi,Zaid,Loamy,99,25,72,30.3,70,7.7,284,Ragi
Telangana,Kharif,Alluvial,70,39,17,21.7,66,6,52,Sesame
Bihar,Zaid,Clay,40,76,15,24.8,57,6.8,271,Mustard
Nagaland,Kharif,Red,40,77,89,27.5,34,6.6,62,Onion
Gujarat,Kharif,Red,52,39,21,37.9,80,6.6,213,Cauliflower
Assam,Kharif,Sandy,112,24,76,29.3,38,6.1,143,Sesame
Telangana,Kharif,Alluvial,119,73,71,25.1,69,7.1,84,Mustard
Jharkhand,Rabi,Sandy,95,28,40,27.4,64,6.5,130,Onion
Arunachal Pradesh,Kharif,Alluvial,42,20,79,31.7,32,7.7,146,Potato
Jharkhand,Kharif,Alluvial,77,71,20,23.6,41,5.9,208,Chilli
Mizoram,Rabi,Clay,51,61,73,28.6,80,7,206,Potato
Arunachal Pradesh,Rabi,Red,29,19,61,29.8,48,7.4,222,Muskmelon
Punjab,Kharif,Clay,105,69,71,28.1,58,7.3,293,Sunflower
Chhattisgarh,Rabi,Loamy,118,77,56,32.8,30,6.8,250,Sesame
Kerala,Rabi,Red,94,80,60,20.6,57,7.4,57,Cabbage
Madhya Pradesh,Rabi,Loamy,89,78,52,26.9,49,8,44,Watermelon
Kerala,Zaid,Loamy,97,27,45,34.8,51,5.6,275,Cucumber
Karnataka,Zaid,Sandy,36,42,73,28.8,71,6.6,80,Tomato
Himachal Pradesh,Rabi,Clay,58,71,83,35.9,56,6,131,Coriander
Rajasthan,Kharif,Sandy,109,61,21,23.3,69,7.8,111,Spinach
Assam,Rabi,Sandy,111,50,35,24.4,31,7.8,258,Muskmelon
Odisha,Zaid,Sandy,114,32,34,32.7,30,6.6,142,Spinach
Himachal Pradesh,Kharif,Clay,40,30,84,35,63,6.7,271,Sesame
Haryana,Kharif,Sandy,43,57,15,32.3,68,5.9,146,Peas
West Bengal,Zaid,Black,48,10,85,35.5,83,7.3,50,Maize
Rajasthan,Kharif,Black,66,33,44,21.5,67,6.1,195,Barley
Tripura,Rabi,Black,88,46,70,32.6,84,6.8,217,Muskmelon
Nagaland,Zaid,Alluvial,24,17,81,26.3,60,7.9,202,Gram
Madhya Pradesh,Rabi,Alluvial,67,12,44,36.7,60,6.4,70,Cauliflower
Manipur,Zaid,Red,109,45,35,29.3,69,6.3,268,Sunflower
Himachal Pradesh,Zaid,Red,65,34,77,34.1,84,5.8,295,Rice
Delhi,Kharif,Red,88,61,40,28.7,41,7.3,173,Soybean
Nagaland,Rabi,Clay,61,52,39,22.8,45,7.4,258,Cotton
Tripura,Rabi,Loamy,22,36,18,27,55,7,222,Tur
Gujarat,Kharif,Black,44,36,15,22.2,89,7,219,Cucumber
Rajasthan,Rabi,Loamy,41,50,36,19.7,62,7.9,181,Onion
Karnataka,Rabi,Red,24,73,33,27.3,53,7.7,174,Sugarcane
Kerala,Kharif,Sandy,28,60,51,24.8,94,6.6,133,Wheat
Telangana,Kharif,Red,85,58,14,26,60,7.1,299,Cabbage
Sikkim,Zaid,Black,46,57,88,27.8,95,6.3,156,Coriander
Uttar Pradesh,Kharif,Alluvial,35,80,58,35.9,84,5.8,221,Wheat
Meghalaya,Rabi,Loamy,43,23,79,18.4,44,6.5,115,Carrot
Kerala,Zaid,Alluvial,58,33,55,33,46,5.9,257,Wheat
Arunachal Pradesh,Zaid,Alluvial,94,43,41,21.1,63,7.2,249,Brinjal
Punjab,Rabi,Black,86,32,34,19.6,31,6.7,27,Sugarcane
Uttarakhand,Rabi,Red,93,50,21,24,43,7,180,Sesame
Andhra Pradesh,Rabi,Red,69,80,74,30.6,60,7.7,201,Cotton
Rajasthan,Kharif,Black,50,71,59,27.5,50,7.2,87,Peas
Kerala,Kharif,Clay,90,28,78,31.9,52,7.6,237,Spinach
Tamil Nadu,Kharif,Alluvial,82,36,22,24.9,33,7.3,107,Watermelon
Arunachal Pradesh,Kharif,Loamy,20,21,18,23.1,34,6.8,168,Carrot
Kerala,Zaid,Black,52,72,89,33.1,68,5.8,178,Sugarcane
Karnataka,Zaid,Clay,54,57,38,23.8,43,6.2,235,Gram
Karnataka,Kharif,Loamy,74,31,66,19.4,84,6,81,Watermelon
Chhattisgarh,Zaid,Sandy,48,60,23,20,78,6,187,Barley
Sikkim,Zaid,Loamy,50,64,43,21.1,63,6,84,Jowar
Chhattisgarh,Zaid,Sandy,62,24,43,19.8,82,6,149,Carrot
Himachal Pradesh,Rabi,Loamy,93,27,59,30.4,59,7.9,132,Cabbage
Andhra Pradesh,Rabi,Clay,87,29,64,33.7,37,6.6,276,Ragi
Tamil Nadu,Rabi,Clay,38,34,73,32,46,6.2,290,Sugarcane
Goa,Zaid,Black,101,13,11,18.4,73,6.5,208,Groundnut
Himachal Pradesh,Kharif,Loamy,81,59,89,23.8,69,5.7,204,Muskmelon
Kerala,Kharif,Red,96,14,75,18.6,60,7.9,198,Cauliflower
Goa,Kharif,Red,73,56,15,18.6,85,7.9,243,Chilli
Odisha,Zaid,Loamy,75,78,14,29,59,7.1,260,Tomato
Mizoram,Zaid,Loamy,111,45,65,31,57,7.3,40,Rice
Arunachal Pradesh,Kharif,Clay,90,31,66,30.9,65,6.4,74,Spinach
Rajasthan,Kharif,Black,94,37,75,34,60,7.5,271,Brinjal
Jammu and Kashmir,Zaid,Red,42,12,63,35.9,93,7.9,124,Rice
Madhya Pradesh,Rabi,Clay,64,37,33,20.4,62,7.8,238,Onion
Rajasthan,Zaid,Black,58,61,47,18.2,49,7,158,Cucumber
Kerala,Zaid,Clay,93,14,17,29.6,48,7.3,240,Coriander
Uttarakhand,Kharif,Loamy,103,79,56,26.5,50,6.8,90,Cucumber
Assam,Zaid,Alluvial,102,68,81,26.1,67,5.6,28,Soybean
Sikkim,Zaid,Loamy,64,30,62,30.2,70,7.9,172,Cucumber
Karnataka,Zaid,Alluvial,38,77,85,36.8,79,6.9,31,Bajra
Uttarakhand,Rabi,Loamy,51,10,16,32.5,33,5.8,269,Cucumber
Meghalaya,Kharif,Black,85,56,79,18.8,33,7.1,297,Potato
West Bengal,Zaid,Alluvial,80,74,80,22,75,5.6,175,Peas
Madhya Pradesh,Rabi,Sandy,105,18,28,29.6,58,7,182,Gram
Bihar,Kharif,Clay,39,21,16,30.7,52,7.7,60,Jowar
Chhattisgarh,Kharif,Sandy,89,77,13,22.7,67,6.8,200,Coriander
Delhi,Rabi,Black,31,56,68,34.9,63,7.7,248,Cotton
Andhra Pradesh,Zaid,Black,60,31,31,32.8,78,6.4,268,Cabbage
Haryana,Rabi,Sandy,88,17,51,20.9,63,7.8,54,Watermelon
Kerala,Zaid,Black,36,58,50,23.1,91,5.8,35,Groundnut
Arunachal Pradesh,Rabi,Loamy,41,29,37,28,34,7.1,43,Tomato
Maharashtra,Zaid,Clay,42,49,84,29.2,75,5.5,167,Peas
Manipur,Kharif,Loamy,61,57,14,29.8,65,5.8,237,Coriander
Uttarakhand,Kharif,Red,92,22,50,29.6,36,5.6,191,Sesame
Gujarat,Zaid,Sandy,20,14,74,28,93,5.6,175,Onion
Odisha,Zaid,Loamy,54,21,72,36.8,77,6.1,70,Chilli
Karnataka,Rabi,Clay,115,59,52,36.9,70,5.7,90,Muskmelon
Tamil Nadu,Kharif,Clay,49,61,61,35.4,63,5.8,24,Groundnut
West Bengal,Zaid,Black,65,34,46,25.1,93,7.8,203,Sesame
Delhi,Zaid,Loamy,116,60,90,35.1,39,6.7,294,Muskmelon
Mizoram,Zaid,Clay,64,78,40,27.1,55,6.2,99,Cotton
Kerala,Zaid,Alluvial,99,15,71,35,57,6.9,284,Potato
Andhra Pradesh,Kharif,Loamy,85,60,19,21.9,42,7.1,259,Jowar
Tamil Nadu,Zaid,Alluvial,107,16,45,33.6,50,7.9,275,Ragi
Gujarat,Zaid,Red,83,33,55,30,95,6.4,74,Soybean
Haryana,Zaid,Loamy,68,48,83,33,33,6.1,194,Groundnut
Rajasthan,Kharif,Black,40,49,68,25.7,82,6.7,207,Wheat
Mizoram,Rabi,Loamy,101,60,83,20.2,49,7.9,200,Peas
Goa,Rabi,Alluvial,28,39,31,18.7,32,6.8,99,Jowar
Himachal Pradesh,Rabi,Loamy,94,28,10,20.4,72,7,291,Sugarcane
Tripura,Kharif,Sandy,98,62,35,32.3,87,5.5,126,Maize
Andhra Pradesh,Kharif,Clay,39,29,78,33.1,52,7.7,26,Cotton
Meghalaya,Rabi,Red,95,28,39,18.2,37,6.5,290,Cotton
Gujarat,Zaid,Sandy,34,70,62,37.5,77,5.7,123,Onion
Sikkim,Zaid,Sandy,46,15,24,25.6,83,6.4,148,Soybean
Tripura,Kharif,Clay,104,71,82,31,87,5.7,204,Rice
Haryana,Zaid,Sandy,66,18,30,22.1,50,7,200,Mustard
Andhra Pradesh,Zaid,Red,120,41,36,31.5,66,6.5,32,Potato
Bihar,Zaid,Loamy,35,22,34,37.9,83,7.6,127,Muskmelon
Maharashtra,Zaid,Red,21,34,17,22.6,52,5.8,147,Tur
Karnataka,Kharif,Alluvial,55,24,50,28.5,75,6.9,36,Onion
Maharashtra,Rabi,Sandy,120,62,22,20.2,93,8,121,Muskmelon
Meghalaya,Zaid,Red,41,18,66,30.8,42,7.1,114,Wheat
Arunachal Pradesh,Rabi,Red,75,55,59,19.6,80,6.4,71,Wheat
Nagaland,Zaid,Black,88,61,29,21.1,95,7.7,299,Maize
Nagaland,Rabi,Alluvial,43,40,24,31.1,95,7.4,220,Chilli
Maharashtra,Rabi,Sandy,23,75,76,24.1,89,6.4,56,Chilli
Himachal Pradesh,Rabi,Loamy,117,70,22,37,60,5.8,193,Tomato
